Flight Information:     	                       	                       	                       	     	                	             	          	     	              	           	          	        
Launch Date:            	                       	Sunday, August 20, 2017	                       	     	Launch Time:    	             	5:45:08 PM	     	End of Ascent:	           	1:24:20 AM	        
Station name:           	                       	                       	                       	     	Number of sonde:	             	00627656  	     	              	           	          	        
Ground values:          	                       	                       	                       	     	                	             	          	     	              	           	          	        
Pressure:               	                       	862.9 hPa              	                       	     	Temperature:    	             	25.2 °C   	     	Humidity:     	           	33 %      	        
Wind Direction:         	                       	54 °                   	                       	     	Wind Speed:     	             	4 m/s     	     	Cloud group:  	           	9////     	        
Position:               	                       	                       	                       	     	                	             	          	     	              	           	          	        
Longitude:              	                       	-104.454 °             	                       	     	Latitude:       	             	42.277 °  	     	Altitude:     	           	1389 m    	        
Staff:                  	                       	                       	                       	     	                	             	          	     	              	           	          	        
Company:                	                       	                       	                       	     	                	             	          	     	              	           	          	        
Operator:               	                       	                       	                       	     	                	             	          	     	              	           	          	        
Events:                 	                       	                       	                       	     	                	             	          	     	              	           	          	        
Highest Point:          	                       	20.8 hPa               	                       	     	26681 m         	             	          	     	              	           	          	        
Tropopauses:            	                       	1.: 186.0 hPa          	                       	     	2.: 67.6 hPa    	             	          	     	              	           	          	        
Max Winds:              	                       	1.: 152.7 hPa          	                       	     	                	             	          	     	              	           	          	        
Remarks:                	                       	                       	                       	     	                	             	          	     	              	           	          	        
                        	                       	                       	                       	     	                	             	          	     	              	           	          	        
Profile Data:           	                       	                       	                       	     	                	             	          	     	              	           	          	        
Time                    	P                      	T                      	Hu                     	Ws   	Wd              	Long.        	Lat.      	Alt  	Dewp.         	Virt. Temp 	Rs        	D       
[sec]                   	[hPa]                  	[°C]                   	[%]                    	[m/s]	[°]             	[°]          	[°]       	[m]  	[°C]          	[°C]       	[m/s]     	[kg/m3] 
0                       	862.9                  	25.2                   	33                     	4.1  	054             	-104.453810  	42.277010 	1389 	7.8           	26.6       	0.0       	1.007749
1                       	862.3                  	25.1                   	34                     	4.2  	056             	-104.453890  	42.277014 	1396 	7.9           	26.5       	6.6       	1.007487
2                       	861.6                  	24.9                   	34                     	4.3  	058             	-104.453971  	42.277018 	1402 	8.1           	26.3       	6.6       	1.007225
3                       	861.0                  	24.8                   	35                     	4.4  	059             	-104.454051  	42.277023 	1409 	8.2           	26.2       	6.6       	1.006964
4                       	860.3                  	24.6                   	35                     	4.5  	061             	-104.454132  	42.277027 	1415 	8.3           	26.1       	6.6       	1.006702
5                       	859.7                  	24.5                   	36                     	4.6  	063             	-104.454212  	42.277031 	1422 	8.5           	25.9       	6.6       	1.006441
6                       	859.1                  	24.3                   	37                     	4.7  	064             	-104.454293  	42.277035 	1428 	8.6           	25.8       	6.6       	1.006181
7                       	858.4                  	24.2                   	37                     	4.7  	066             	-104.454373  	42.277040 	1435 	8.7           	25.7       	6.6       	1.005918
8                       	857.8                  	24.0                   	37                     	4.8  	067             	-104.454453  	42.277044 	1442 	8.7           	25.5       	6.6       	1.005656
9                       	857.1                  	23.9                   	38                     	4.9  	069             	-104.454534  	42.277048 	1448 	8.6           	25.4       	6.6       	1.005394
10                      	856.5                  	23.8                   	38                     	5.0  	070             	-104.454614  	42.277052 	1455 	8.6           	25.2       	6.6       	1.005133
11                      	855.9                  	23.6                   	38                     	5.1  	071             	-104.454695  	42.277057 	1461 	8.6           	25.1       	6.6       	1.004871
12                      	855.2                  	23.5                   	39                     	5.2  	073             	-104.454775  	42.277061 	1468 	8.6           	24.9       	6.6       	1.004610
13                      	854.6                  	23.3                   	39                     	5.3  	074             	-104.454856  	42.277065 	1474 	8.6           	24.8       	6.6       	1.004342
14                      	853.9                  	23.2                   	39                     	5.4  	075             	-104.454936  	42.277069 	1481 	8.6           	24.6       	6.6       	1.004074
15                      	853.3                  	23.0                   	39                     	5.5  	076             	-104.455016  	42.277073 	1488 	8.5           	24.5       	6.6       	1.003807
16                      	852.7                  	22.9                   	40                     	5.6  	077             	-104.455085  	42.277079 	1494 	8.5           	24.4       	6.6       	1.003539
17                      	852.0                  	22.8                   	40                     	5.7  	078             	-104.455150  	42.277085 	1501 	8.5           	24.2       	6.6       	1.003272
18                      	851.4                  	22.6                   	40                     	5.8  	079             	-104.455214  	42.277092 	1507 	8.5           	24.1       	6.6       	1.003006
19                      	850.7                  	22.5                   	41                     	5.9  	080             	-104.455279  	42.277098 	1514 	8.5           	23.9       	6.6       	1.002735
20                      	850.1                  	22.3                   	41                     	5.9  	081             	-104.455343  	42.277104 	1520 	8.4           	23.8       	6.6       	1.002465
21                      	849.4                  	22.2                   	41                     	6.0  	082             	-104.455408  	42.277111 	1527 	8.4           	23.6       	6.6       	1.002196
22                      	848.8                  	22.0                   	41                     	6.1  	083             	-104.455472  	42.277117 	1534 	8.3           	23.5       	6.6       	1.001926
23                      	848.2                  	21.9                   	42                     	6.2  	084             	-104.455537  	42.277123 	1540 	8.3           	23.3       	6.6       	1.001657
24                      	847.5                  	21.7                   	42                     	6.3  	085             	-104.455601  	42.277129 	1547 	8.2           	23.2       	6.6       	1.001388
25                      	846.9                  	21.6                   	42                     	6.4  	085             	-104.455666  	42.277136 	1553 	8.2           	23.0       	6.6       	1.001118
26                      	846.2                  	21.5                   	42                     	6.5  	086             	-104.455730  	42.277142 	1560 	8.1           	22.9       	6.6       	1.000847
27                      	845.6                  	21.3                   	43                     	6.6  	087             	-104.455795  	42.277148 	1566 	8.1           	22.7       	6.6       	1.000577
28                      	845.0                  	21.2                   	43                     	6.6  	088             	-104.455859  	42.277155 	1573 	8.0           	22.6       	6.6       	1.000307
29                      	844.3                  	21.0                   	43                     	6.8  	088             	-104.455924  	42.277161 	1580 	8.0           	22.4       	6.6       	1.000038
30                      	843.7                  	20.9                   	43                     	6.9  	089             	-104.455988  	42.277167 	1586 	7.9           	22.3       	6.6       	0.999769
31                      	843.0                  	20.7                   	43                     	6.8  	090             	-104.456053  	42.277173 	1593 	7.9           	22.1       	6.6       	0.999497
32                      	842.4                  	20.6                   	44                     	6.7  	090             	-104.456117  	42.277180 	1599 	7.8           	22.0       	6.6       	0.999227
33                      	841.8                  	20.4                   	44                     	6.6  	091             	-104.456182  	42.277186 	1606 	7.8           	21.8       	6.6       	0.998956
34                      	841.1                  	20.3                   	44                     	6.5  	091             	-104.456246  	42.277192 	1613 	7.7           	21.7       	6.6       	0.998686
35                      	840.5                  	20.2                   	44                     	6.4  	092             	-104.456311  	42.277199 	1619 	7.7           	21.5       	6.6       	0.998416
36                      	839.8                  	20.0                   	45                     	6.4  	092             	-104.456375  	42.277205 	1626 	7.6           	21.4       	6.6       	0.998146
37                      	839.2                  	19.9                   	45                     	6.3  	093             	-104.456440  	42.277211 	1632 	7.6           	21.3       	6.6       	0.997750
38                      	838.6                  	19.8                   	45                     	6.2  	094             	-104.456504  	42.277217 	1639 	7.6           	21.2       	6.6       	0.997221
39                      	837.9                  	19.8                   	45                     	6.1  	094             	-104.456569  	42.277224 	1645 	7.6           	21.2       	6.6       	0.996693
40                      	837.3                  	19.7                   	46                     	6.0  	095             	-104.456633  	42.277230 	1652 	7.7           	21.1       	6.6       	0.996165
41                      	836.6                  	19.6                   	46                     	6.0  	096             	-104.456698  	42.277236 	1659 	7.7           	21.0       	6.6       	0.995637
42                      	836.0                  	19.6                   	46                     	5.9  	097             	-104.456762  	42.277243 	1665 	7.7           	21.0       	6.6       	0.995109
43                      	835.4                  	19.5                   	46                     	5.8  	097             	-104.456827  	42.277249 	1672 	7.7           	20.9       	6.6       	0.994617
44                      	834.8                  	19.4                   	47                     	5.7  	098             	-104.456891  	42.277255 	1678 	7.7           	20.8       	6.6       	0.994104
45                      	834.2                  	19.4                   	47                     	5.6  	099             	-104.456956  	42.277261 	1685 	7.8           	20.8       	6.6       	0.993567
46                      	833.6                  	19.3                   	47                     	5.6  	100             	-104.457006  	42.277279 	1691 	7.8           	20.7       	6.4       	0.993029
47                      	833.0                  	19.3                   	47                     	5.5  	101             	-104.457051  	42.277302 	1697 	7.8           	20.7       	5.7       	0.992492
48                      	832.4                  	19.2                   	47                     	5.4  	102             	-104.457095  	42.277325 	1703 	7.8           	20.6       	5.7       	0.991956
49                      	831.8                  	19.2                   	48                     	5.3  	102             	-104.457139  	42.277347 	1708 	7.8           	20.6       	5.7       	0.991480
50                      	831.2                  	19.1                   	48                     	5.2  	103             	-104.457184  	42.277370 	1714 	7.8           	20.5       	5.7       	0.991005
51                      	830.7                  	19.1                   	48                     	5.1  	104             	-104.457228  	42.277393 	1720 	7.8           	20.5       	5.7       	0.990530
52                      	830.1                  	19.0                   	48                     	5.1  	105             	-104.457273  	42.277415 	1726 	7.8           	20.4       	5.7       	0.990056
53                      	829.6                  	18.9                   	48                     	5.0  	106             	-104.457317  	42.277438 	1731 	7.8           	20.4       	5.7       	0.989581
54                      	829.0                  	18.9                   	49                     	4.9  	107             	-104.457361  	42.277460 	1737 	7.8           	20.3       	5.7       	0.989107
55                      	828.5                  	18.8                   	49                     	4.8  	109             	-104.457406  	42.277483 	1743 	7.8           	20.3       	5.7       	0.988633
56                      	827.9                  	18.8                   	49                     	4.7  	110             	-104.457450  	42.277506 	1749 	7.8           	20.2       	5.7       	0.988159
57                      	827.4                  	18.7                   	49                     	4.6  	111             	-104.457495  	42.277528 	1754 	7.8           	20.1       	5.7       	0.987685
58                      	826.8                  	18.7                   	49                     	4.5  	112             	-104.457539  	42.277551 	1760 	7.8           	20.1       	5.7       	0.987195
59                      	826.3                  	18.6                   	49                     	4.5  	113             	-104.457583  	42.277574 	1766 	7.8           	20.0       	5.7       	0.986703
60                      	825.7                  	18.6                   	50                     	4.4  	115             	-104.457628  	42.277596 	1771 	7.9           	20.0       	5.7       	0.986211
61                      	825.2                  	18.5                   	50                     	4.4  	115             	-104.457672  	42.277619 	1777 	7.9           	20.0       	5.7       	0.985719
62                      	824.6                  	18.5                   	50                     	4.4  	115             	-104.457717  	42.277642 	1783 	7.9           	19.9       	5.7       	0.985227
63                      	824.1                  	18.4                   	50                     	4.4  	116             	-104.457761  	42.277664 	1789 	7.9           	19.9       	5.7       	0.984736
64                      	823.5                  	18.4                   	50                     	4.5  	116             	-104.457806  	42.277687 	1794 	7.9           	19.8       	5.7       	0.984245
65                      	823.0                  	18.3                   	50                     	4.5  	117             	-104.457850  	42.277710 	1800 	7.9           	19.8       	5.7       	0.983754
66                      	822.4                  	18.3                   	51                     	4.5  	117             	-104.457894  	42.277732 	1806 	7.9           	19.7       	5.7       	0.983263
67                      	821.9                  	18.2                   	51                     	4.5  	117             	-104.457939  	42.277755 	1812 	7.9           	19.7       	5.7       	0.982772
68                      	821.3                  	18.2                   	51                     	4.5  	118             	-104.457983  	42.277777 	1817 	7.9           	19.6       	5.7       	0.982281
69                      	820.8                  	18.1                   	51                     	4.5  	118             	-104.458028  	42.277800 	1823 	7.9           	19.6       	5.7       	0.981791
70                      	820.2                  	18.1                   	51                     	4.5  	119             	-104.458072  	42.277823 	1829 	7.9           	19.5       	5.7       	0.981301
71                      	819.7                  	18.0                   	51                     	4.6  	119             	-104.458116  	42.277845 	1835 	7.9           	19.5       	5.7       	0.980821
72                      	819.1                  	18.0                   	52                     	4.6  	119             	-104.458161  	42.277868 	1840 	7.9           	19.4       	5.7       	0.980356
73                      	818.6                  	17.9                   	52                     	4.6  	120             	-104.458205  	42.277891 	1846 	7.9           	19.4       	5.7       	0.979861
74                      	818.0                  	17.9                   	52                     	4.6  	120             	-104.458250  	42.277913 	1852 	7.9           	19.3       	5.7       	0.979367
75                      	817.4                  	17.8                   	52                     	4.6  	121             	-104.458294  	42.277936 	1857 	7.9           	19.2       	5.7       	0.978873
76                      	816.8                  	17.8                   	52                     	4.6  	121             	-104.458340  	42.277960 	1863 	7.9           	19.2       	5.9       	0.978380
77                      	816.3                  	17.7                   	52                     	4.7  	121             	-104.458394  	42.277990 	1870 	7.8           	19.1       	6.4       	0.977887
78                      	815.7                  	17.6                   	53                     	4.7  	122             	-104.458447  	42.278020 	1876 	7.8           	19.1       	6.4       	0.977394
79                      	815.1                  	17.6                   	53                     	4.7  	122             	-104.458501  	42.278051 	1883 	7.8           	19.0       	6.4       	0.976851
80                      	814.5                  	17.5                   	53                     	4.7  	122             	-104.458554  	42.278081 	1889 	7.8           	19.0       	6.4       	0.976308
81                      	813.9                  	17.5                   	53                     	4.7  	123             	-104.458608  	42.278111 	1895 	7.8           	18.9       	6.4       	0.975765
82                      	813.3                  	17.4                   	53                     	4.8  	123             	-104.458661  	42.278141 	1902 	7.8           	18.8       	6.4       	0.975223
83                      	812.7                  	17.4                   	53                     	4.8  	123             	-104.458715  	42.278171 	1908 	7.8           	18.8       	6.4       	0.974682
84                      	812.0                  	17.3                   	53                     	4.8  	124             	-104.458768  	42.278201 	1915 	7.8           	18.7       	6.4       	0.974140
85                      	811.4                  	17.2                   	54                     	4.8  	124             	-104.458822  	42.278232 	1921 	7.8           	18.7       	6.4       	0.973619
86                      	810.8                  	17.2                   	54                     	4.8  	124             	-104.458875  	42.278262 	1928 	7.7           	18.6       	6.4       	0.973099
87                      	810.2                  	17.1                   	54                     	4.9  	125             	-104.458929  	42.278292 	1934 	7.7           	18.5       	6.4       	0.972579
88                      	809.6                  	17.1                   	54                     	4.9  	125             	-104.458982  	42.278322 	1940 	7.7           	18.5       	6.4       	0.972060
89                      	809.0                  	17.0                   	54                     	4.9  	125             	-104.459035  	42.278352 	1947 	7.7           	18.4       	6.4       	0.971541
90                      	808.4                  	16.9                   	54                     	4.9  	126             	-104.459089  	42.278382 	1953 	7.7           	18.4       	6.4       	0.971022
91                      	807.8                  	16.9                   	54                     	5.0  	126             	-104.459142  	42.278413 	1960 	7.6           	18.3       	6.4       	0.970502
92                      	807.2                  	16.8                   	55                     	5.0  	126             	-104.459196  	42.278443 	1966 	7.6           	18.2       	6.4       	0.969983
93                      	806.6                  	16.7                   	55                     	5.1  	126             	-104.459249  	42.278473 	1972 	7.6           	18.2       	6.4       	0.969464
94                      	806.0                  	16.7                   	55                     	5.1  	126             	-104.459303  	42.278503 	1979 	7.6           	18.1       	6.4       	0.968946
95                      	805.4                  	16.6                   	55                     	5.2  	126             	-104.459356  	42.278533 	1985 	7.6           	18.0       	6.4       	0.968428
96                      	804.8                  	16.5                   	55                     	5.2  	126             	-104.459410  	42.278563 	1992 	7.5           	18.0       	6.4       	0.967910
97                      	804.2                  	16.5                   	55                     	5.3  	126             	-104.459463  	42.278594 	1998 	7.5           	17.9       	6.4       	0.967392
98                      	803.5                  	16.4                   	55                     	5.3  	126             	-104.459517  	42.278624 	2005 	7.5           	17.8       	6.4       	0.966860
99                      	802.9                  	16.4                   	56                     	5.4  	127             	-104.459570  	42.278654 	2011 	7.5           	17.8       	6.4       	0.966318
100                     	802.3                  	16.3                   	56                     	5.4  	127             	-104.459624  	42.278684 	2017 	7.5           	17.7       	6.4       	0.965776
101                     	801.7                  	16.3                   	56                     	5.5  	127             	-104.459677  	42.278714 	2024 	7.5           	17.7       	6.4       	0.965234
102                     	801.1                  	16.2                   	56                     	5.5  	127             	-104.459731  	42.278744 	2030 	7.4           	17.6       	6.4       	0.964693
103                     	800.5                  	16.1                   	56                     	5.6  	127             	-104.459784  	42.278775 	2037 	7.4           	17.6       	6.4       	0.964170
104                     	800.0                  	16.1                   	56                     	5.6  	127             	-104.459838  	42.278805 	2043 	7.4           	17.5       	6.4       	0.963649
105                     	799.4                  	16.0                   	56                     	5.7  	127             	-104.459891  	42.278835 	2050 	7.4           	17.4       	6.4       	0.963127
106                     	798.8                  	16.0                   	57                     	5.7  	127             	-104.459945  	42.278865 	2056 	7.4           	17.4       	6.4       	0.962606
107                     	798.2                  	15.9                   	57                     	5.8  	127             	-104.459998  	42.278895 	2062 	7.4           	17.3       	6.4       	0.962085
108                     	797.6                  	15.9                   	57                     	5.8  	127             	-104.460054  	42.278920 	2068 	7.4           	17.3       	5.4       	0.961564
109                     	797.1                  	15.8                   	57                     	5.9  	127             	-104.460110  	42.278944 	2073 	7.3           	17.2       	5.4       	0.961135
110                     	796.6                  	15.8                   	57                     	5.9  	127             	-104.460166  	42.278969 	2079 	7.3           	17.2       	5.4       	0.960706
111                     	796.1                  	15.7                   	57                     	5.9  	127             	-104.460222  	42.278993 	2084 	7.3           	17.1       	5.4       	0.960275
112                     	795.6                  	15.7                   	57                     	5.8  	127             	-104.460277  	42.279018 	2089 	7.3           	17.1       	5.4       	0.959814
113                     	795.1                  	15.6                   	58                     	5.8  	127             	-104.460333  	42.279042 	2095 	7.3           	17.0       	5.4       	0.959353
114                     	794.6                  	15.6                   	58                     	5.8  	126             	-104.460389  	42.279067 	2100 	7.3           	17.0       	5.4       	0.958893
115                     	794.1                  	15.5                   	58                     	5.7  	126             	-104.460445  	42.279091 	2106 	7.3           	16.9       	5.4       	0.958432
116                     	793.5                  	15.5                   	58                     	5.7  	126             	-104.460501  	42.279116 	2111 	7.3           	16.9       	5.4       	0.957971
117                     	793.0                  	15.4                   	58                     	5.7  	125             	-104.460557  	42.279141 	2117 	7.2           	16.8       	5.4       	0.957511
118                     	792.5                  	15.4                   	58                     	5.6  	125             	-104.460613  	42.279165 	2122 	7.2           	16.8       	5.4       	0.957050
119                     	792.0                  	15.3                   	58                     	5.6  	125             	-104.460669  	42.279190 	2127 	7.2           	16.7       	5.4       	0.956591
120                     	791.5                  	15.3                   	58                     	5.6  	125             	-104.460724  	42.279214 	2133 	7.2           	16.7       	5.4       	0.956131
121                     	791.0                  	15.2                   	58                     	5.5  	124             	-104.460780  	42.279239 	2138 	7.2           	16.6       	5.4       	0.955671
122                     	790.5                  	15.2                   	59                     	5.5  	124             	-104.460836  	42.279263 	2144 	7.2           	16.6       	5.4       	0.955211
123                     	790.0                  	15.2                   	59                     	5.5  	124             	-104.460892  	42.279288 	2149 	7.1           	16.6       	5.4       	0.954752
124                     	789.5                  	15.1                   	59                     	5.4  	123             	-104.460948  	42.279313 	2155 	7.1           	16.5       	5.4       	0.954292
125                     	789.0                  	15.1                   	59                     	5.4  	123             	-104.461004  	42.279337 	2160 	7.1           	16.5       	5.4       	0.953811
126                     	788.5                  	15.0                   	59                     	5.3  	123             	-104.461060  	42.279362 	2166 	7.1           	16.4       	5.4       	0.953317
127                     	788.0                  	15.0                   	59                     	5.3  	123             	-104.461115  	42.279386 	2171 	7.1           	16.4       	5.4       	0.952822
128                     	787.5                  	15.0                   	59                     	5.3  	122             	-104.461171  	42.279411 	2176 	7.1           	16.4       	5.4       	0.952328
129                     	787.0                  	14.9                   	59                     	5.2  	122             	-104.461227  	42.279435 	2182 	7.0           	16.3       	5.4       	0.951834
130                     	786.5                  	14.9                   	59                     	5.2  	122             	-104.461283  	42.279460 	2187 	6.9           	16.3       	5.4       	0.951340
131                     	786.0                  	14.9                   	59                     	5.2  	121             	-104.461339  	42.279484 	2193 	6.9           	16.2       	5.4       	0.950847
132                     	785.5                  	14.8                   	59                     	5.2  	121             	-104.461395  	42.279509 	2198 	6.8           	16.2       	5.4       	0.950354
133                     	785.0                  	14.8                   	58                     	5.3  	121             	-104.461451  	42.279534 	2204 	6.7           	16.2       	5.4       	0.949860
134                     	784.5                  	14.8                   	58                     	5.3  	121             	-104.461507  	42.279558 	2209 	6.7           	16.1       	5.4       	0.949367
135                     	784.0                  	14.7                   	58                     	5.3  	121             	-104.461562  	42.279583 	2214 	6.6           	16.1       	5.4       	0.948875
136                     	783.5                  	14.7                   	58                     	5.3  	121             	-104.461618  	42.279607 	2220 	6.6           	16.0       	5.4       	0.948382
137                     	783.0                  	14.7                   	58                     	5.3  	120             	-104.461674  	42.279632 	2225 	6.5           	16.0       	5.4       	0.947890
138                     	782.4                  	14.6                   	58                     	5.3  	120             	-104.461726  	42.279651 	2231 	6.4           	16.0       	5.4       	0.947367
139                     	781.9                  	14.6                   	58                     	5.4  	120             	-104.461777  	42.279668 	2236 	6.4           	16.0       	5.4       	0.946728
140                     	781.4                  	14.6                   	58                     	5.4  	120             	-104.461828  	42.279685 	2242 	6.4           	16.0       	5.4       	0.946089
141                     	780.9                  	14.7                   	57                     	5.4  	120             	-104.461879  	42.279702 	2247 	6.4           	16.0       	5.4       	0.945450
142                     	780.4                  	14.7                   	57                     	5.4  	120             	-104.461929  	42.279719 	2252 	6.3           	16.0       	5.4       	0.944812
143                     	779.9                  	14.7                   	57                     	5.4  	119             	-104.461980  	42.279736 	2258 	6.2           	16.0       	5.4       	0.944175
144                     	779.4                  	14.7                   	56                     	5.5  	119             	-104.462031  	42.279753 	2263 	6.1           	16.0       	5.4       	0.943537
145                     	778.9                  	14.7                   	56                     	5.5  	119             	-104.462081  	42.279770 	2269 	6.0           	16.0       	5.4       	0.942901
146                     	778.4                  	14.7                   	56                     	5.5  	119             	-104.462132  	42.279786 	2274 	6.0           	16.0       	5.4       	0.942264
147                     	777.9                  	14.7                   	55                     	5.5  	119             	-104.462183  	42.279803 	2280 	5.9           	16.0       	5.4       	0.941628
148                     	777.4                  	14.7                   	55                     	5.5  	119             	-104.462234  	42.279820 	2285 	5.8           	16.0       	5.4       	0.940992
149                     	776.9                  	14.7                   	55                     	5.5  	118             	-104.462284  	42.279837 	2290 	5.7           	16.0       	5.4       	0.940357
150                     	776.4                  	14.7                   	54                     	5.6  	118             	-104.462335  	42.279854 	2296 	5.6           	16.0       	5.4       	0.939722
151                     	776.0                  	14.8                   	54                     	5.5  	118             	-104.462386  	42.279871 	2301 	5.6           	16.0       	5.4       	0.939088
152                     	775.5                  	14.7                   	54                     	5.4  	118             	-104.462436  	42.279888 	2307 	5.5           	16.0       	5.4       	0.938503
153                     	775.0                  	14.7                   	53                     	5.3  	117             	-104.462487  	42.279905 	2312 	5.4           	16.0       	5.4       	0.937933
154                     	774.5                  	14.7                   	53                     	5.2  	117             	-104.462538  	42.279922 	2318 	5.3           	16.0       	5.4       	0.937363
155                     	774.0                  	14.7                   	53                     	5.1  	117             	-104.462589  	42.279939 	2323 	5.2           	16.0       	5.4       	0.936793
156                     	773.5                  	14.7                   	52                     	5.0  	116             	-104.462639  	42.279956 	2329 	5.0           	15.9       	5.4       	0.936224
157                     	773.0                  	14.7                   	52                     	4.9  	116             	-104.462690  	42.279973 	2334 	4.9           	15.9       	5.4       	0.935655
158                     	772.5                  	14.7                   	52                     	4.8  	115             	-104.462741  	42.279989 	2339 	4.8           	15.9       	5.4       	0.935086
159                     	772.0                  	14.7                   	51                     	4.8  	115             	-104.462791  	42.280006 	2345 	4.7           	15.9       	5.4       	0.934518
160                     	771.5                  	14.7                   	51                     	4.7  	114             	-104.462842  	42.280023 	2350 	4.6           	15.9       	5.4       	0.933950
161                     	771.0                  	14.7                   	51                     	4.6  	114             	-104.462893  	42.280040 	2356 	4.5           	15.9       	5.4       	0.933382
162                     	770.5                  	14.6                   	50                     	4.5  	114             	-104.462944  	42.280057 	2361 	4.4           	15.8       	5.4       	0.932815
163                     	770.0                  	14.6                   	50                     	4.4  	113             	-104.462994  	42.280074 	2367 	4.3           	15.8       	5.4       	0.932255
164                     	769.5                  	14.6                   	50                     	4.3  	113             	-104.463045  	42.280091 	2372 	4.2           	15.8       	5.4       	0.931696
165                     	769.0                  	14.6                   	49                     	4.2  	112             	-104.463096  	42.280108 	2377 	4.1           	15.8       	5.4       	0.931082
166                     	768.5                  	14.7                   	49                     	4.2  	111             	-104.463146  	42.280125 	2383 	4.1           	15.8       	5.4       	0.930357
167                     	768.1                  	14.7                   	48                     	4.1  	111             	-104.463197  	42.280142 	2388 	4.0           	15.9       	5.4       	0.929633
168                     	767.6                  	14.8                   	48                     	4.0  	110             	-104.463204  	42.280151 	2393 	3.9           	15.9       	5.0       	0.928909
169                     	767.1                  	14.8                   	47                     	3.9  	110             	-104.463192  	42.280156 	2398 	3.7           	15.9       	4.8       	0.928245
170                     	766.7                  	14.8                   	47                     	3.8  	109             	-104.463180  	42.280162 	2403 	3.5           	16.0       	4.8       	0.927581
171                     	766.3                  	14.9                   	46                     	3.7  	109             	-104.463168  	42.280167 	2408 	3.4           	16.0       	4.8       	0.926918
172                     	765.8                  	14.9                   	45                     	3.5  	110             	-104.463156  	42.280173 	2413 	3.2           	16.0       	4.8       	0.926256
173                     	765.4                  	15.0                   	44                     	3.3  	110             	-104.463143  	42.280178 	2418 	3.0           	16.0       	4.8       	0.925593
174                     	764.9                  	15.0                   	44                     	3.2  	111             	-104.463131  	42.280184 	2422 	2.8           	16.1       	4.8       	0.924932
175                     	764.5                  	15.1                   	43                     	3.0  	111             	-104.463119  	42.280190 	2427 	2.6           	16.1       	4.8       	0.924271
176                     	764.1                  	15.1                   	42                     	2.9  	112             	-104.463107  	42.280195 	2432 	2.4           	16.1       	4.8       	0.923611
177                     	763.6                  	15.1                   	42                     	2.7  	113             	-104.463095  	42.280201 	2437 	2.2           	16.2       	4.8       	0.922951
178                     	763.2                  	15.2                   	41                     	2.6  	114             	-104.463083  	42.280206 	2442 	2.0           	16.2       	4.8       	0.922292
179                     	762.8                  	15.3                   	40                     	2.4  	115             	-104.463070  	42.280212 	2447 	1.8           	16.3       	4.8       	0.921466
180                     	762.3                  	15.4                   	39                     	2.3  	117             	-104.463058  	42.280217 	2451 	1.7           	16.4       	4.8       	0.920622
181                     	761.9                  	15.5                   	39                     	2.1  	119             	-104.463046  	42.280223 	2456 	1.5           	16.4       	4.8       	0.919779
182                     	761.5                  	15.6                   	38                     	1.9  	122             	-104.463034  	42.280228 	2461 	1.3           	16.5       	4.8       	0.918937
183                     	761.0                  	15.7                   	37                     	1.8  	125             	-104.463022  	42.280234 	2466 	1.2           	16.6       	4.8       	0.918096
184                     	760.6                  	15.8                   	37                     	1.6  	131             	-104.463010  	42.280240 	2471 	1.0           	16.7       	4.8       	0.917255
185                     	760.2                  	15.9                   	36                     	1.5  	140             	-104.462997  	42.280245 	2476 	0.8           	16.8       	4.8       	0.916416
186                     	759.7                  	16.0                   	35                     	1.3  	156             	-104.462985  	42.280251 	2480 	0.6           	16.9       	4.8       	0.915578
187                     	759.3                  	16.1                   	34                     	1.2  	182             	-104.462973  	42.280256 	2485 	0.4           	17.0       	4.8       	0.914741
188                     	758.9                  	16.2                   	34                     	1.0  	213             	-104.462961  	42.280262 	2490 	0.2           	17.1       	4.8       	0.913905
189                     	758.4                  	16.3                   	33                     	0.9  	236             	-104.462949  	42.280267 	2495 	0.0           	17.2       	4.8       	0.913070
190                     	758.0                  	16.4                   	32                     	0.7  	249             	-104.462937  	42.280273 	2500 	-0.3          	17.2       	4.8       	0.912236
191                     	757.6                  	16.5                   	31                     	0.8  	250             	-104.462924  	42.280278 	2504 	-0.5          	17.3       	4.8       	0.911403
192                     	757.1                  	16.6                   	31                     	1.0  	251             	-104.462912  	42.280284 	2509 	-0.7          	17.4       	4.8       	0.910594
193                     	756.7                  	16.6                   	30                     	1.1  	251             	-104.462900  	42.280290 	2514 	-1.0          	17.5       	4.8       	0.909815
194                     	756.3                  	16.7                   	29                     	1.3  	252             	-104.462888  	42.280295 	2519 	-1.3          	17.5       	4.8       	0.909037
195                     	755.9                  	16.8                   	29                     	1.4  	252             	-104.462876  	42.280301 	2524 	-1.4          	17.6       	4.8       	0.908260
196                     	755.4                  	16.9                   	28                     	1.6  	252             	-104.462864  	42.280306 	2529 	-1.6          	17.7       	4.8       	0.907483
197                     	755.0                  	17.0                   	28                     	1.7  	253             	-104.462851  	42.280312 	2533 	-1.7          	17.8       	4.8       	0.906707
198                     	754.6                  	17.1                   	27                     	1.9  	253             	-104.462832  	42.280316 	2538 	-1.9          	17.8       	4.8       	0.905932
199                     	754.2                  	17.2                   	27                     	2.0  	253             	-104.462784  	42.280313 	2543 	-2.0          	17.9       	4.7       	0.905167
200                     	753.7                  	17.2                   	26                     	2.2  	253             	-104.462737  	42.280310 	2548 	-2.1          	18.0       	4.7       	0.904404
