Flight Information:     	                        	                       	                   	     	                	             	           	     	              	           	          	        
Launch Date:            	                        	Sunday, August 20, 2017	                   	     	Launch Time:    	             	11:49:08 PM	     	End of Ascent:	           	1:10:29 AM	        
Station name:           	                        	                       	                   	     	Number of sonde:	             	00627841   	     	              	           	          	        
Ground values:          	                        	                       	                   	     	                	             	           	     	              	           	          	        
Pressure:               	                        	859.8 hPa              	                   	     	Temperature:    	             	28.8 °C    	     	Humidity:     	           	34 %      	        
Wind Direction:         	                        	125 °                  	                   	     	Wind Speed:     	             	8 m/s      	     	Cloud group:  	           	9////     	        
Position:               	                        	                       	                   	     	                	             	           	     	              	           	          	        
Longitude:              	                        	-104.454 °             	                   	     	Latitude:       	             	42.277 °   	     	Altitude:     	           	1389 m    	        
Staff:                  	                        	                       	                   	     	                	             	           	     	              	           	          	        
Company:                	                        	                       	                   	     	                	             	           	     	              	           	          	        
Operator:               	                        	                       	                   	     	                	             	           	     	              	           	          	        
Events:                 	                        	                       	                   	     	                	             	           	     	              	           	          	        
Highest Point:          	                        	22.3 hPa               	                   	     	26181 m         	             	           	     	              	           	          	        
Tropopauses:            	                        	1.: 121.2 hPa          	                   	     	                	             	           	     	              	           	          	        
Max Winds:              	                        	1.: 181.9 hPa          	                   	     	                	             	           	     	              	           	          	        
Remarks:                	                        	                       	                   	     	                	             	           	     	              	           	          	        
                        	                        	                       	                   	     	                	             	           	     	              	           	          	        
Profile Data:           	                        	                       	                   	     	                	             	           	     	              	           	          	        
Time                    	P                       	T                      	Hu                 	Ws   	Wd              	Long.        	Lat.       	Alt  	Dewp.         	Virt. Temp 	Rs        	D       
[sec]                   	[hPa]                   	[°C]                   	[%]                	[m/s]	[°]             	[°]          	[°]        	[m]  	[°C]          	[°C]       	[m/s]     	[kg/m3] 
0                       	859.8                   	28.8                   	34                 	7.5  	125             	-104.453800  	42.277010  	1389 	11.4          	30.6       	0.0       	0.992157
1                       	859.3                   	28.5                   	34                 	7.6  	127             	-104.453829  	42.277090  	1395 	11.1          	30.3       	5.5       	0.992376
2                       	858.7                   	28.3                   	34                 	7.7  	128             	-104.453858  	42.277171  	1400 	10.8          	30.0       	5.5       	0.992596
3                       	858.2                   	28.0                   	34                 	7.7  	130             	-104.453887  	42.277251  	1406 	10.6          	29.7       	5.5       	0.992816
4                       	857.7                   	27.8                   	34                 	7.8  	132             	-104.453916  	42.277332  	1411 	10.3          	29.5       	5.5       	0.993037
5                       	857.2                   	27.5                   	33                 	7.9  	133             	-104.453945  	42.277412  	1417 	10.0          	29.2       	5.5       	0.993259
6                       	856.6                   	27.3                   	33                 	8.0  	135             	-104.453974  	42.277493  	1422 	9.8           	28.9       	5.5       	0.993482
7                       	856.1                   	27.1                   	33                 	8.1  	136             	-104.454004  	42.277573  	1428 	9.6           	28.7       	5.5       	0.993382
8                       	855.6                   	27.1                   	33                 	8.2  	138             	-104.454033  	42.277654  	1433 	9.6           	28.6       	5.5       	0.993032
9                       	855.0                   	27.0                   	34                 	8.2  	140             	-104.454062  	42.277734  	1439 	9.6           	28.6       	5.5       	0.992682
10                      	854.5                   	26.9                   	34                 	8.3  	141             	-104.454091  	42.277814  	1444 	9.6           	28.5       	5.5       	0.992333
11                      	854.0                   	26.8                   	34                 	8.4  	143             	-104.454120  	42.277895  	1450 	9.6           	28.4       	5.5       	0.991983
12                      	853.5                   	26.7                   	34                 	8.5  	144             	-104.454149  	42.277975  	1455 	9.6           	28.3       	5.5       	0.991634
13                      	852.9                   	26.7                   	34                 	8.6  	146             	-104.454178  	42.278056  	1461 	9.6           	28.2       	5.5       	0.991232
14                      	852.3                   	26.6                   	34                 	8.6  	147             	-104.454207  	42.278136  	1466 	9.6           	28.2       	5.5       	0.990830
15                      	851.7                   	26.5                   	34                 	8.7  	148             	-104.454236  	42.278217  	1472 	9.6           	28.1       	5.6       	0.990428
16                      	851.2                   	26.4                   	35                 	8.8  	150             	-104.454269  	42.278303  	1478 	9.5           	28.0       	6.4       	0.990026
17                      	850.6                   	26.3                   	35                 	8.9  	151             	-104.454301  	42.278389  	1484 	9.5           	27.9       	6.4       	0.989625
18                      	850.0                   	26.3                   	35                 	9.0  	153             	-104.454334  	42.278475  	1491 	9.5           	27.8       	6.4       	0.989224
19                      	849.4                   	26.2                   	35                 	9.1  	154             	-104.454366  	42.278561  	1497 	9.5           	27.8       	6.4       	0.988773
20                      	848.8                   	26.1                   	35                 	9.1  	155             	-104.454399  	42.278647  	1504 	9.5           	27.7       	6.4       	0.988295
21                      	848.2                   	26.0                   	35                 	9.2  	156             	-104.454431  	42.278733  	1510 	9.5           	27.6       	6.4       	0.987797
22                      	847.6                   	26.0                   	35                 	9.3  	157             	-104.454464  	42.278819  	1516 	9.6           	27.6       	6.4       	0.987300
23                      	847.0                   	25.9                   	36                 	9.4  	159             	-104.454496  	42.278905  	1523 	9.6           	27.5       	6.4       	0.986802
24                      	846.4                   	25.8                   	36                 	9.5  	160             	-104.454529  	42.278991  	1529 	9.6           	27.4       	6.4       	0.986305
25                      	845.7                   	25.8                   	36                 	9.5  	161             	-104.454562  	42.279077  	1535 	9.6           	27.4       	6.4       	0.985807
26                      	845.1                   	25.7                   	36                 	9.6  	162             	-104.454594  	42.279163  	1542 	9.6           	27.3       	6.4       	0.985310
27                      	844.5                   	25.6                   	36                 	9.7  	163             	-104.454627  	42.279249  	1548 	9.6           	27.3       	6.4       	0.984813
28                      	843.9                   	25.6                   	37                 	9.8  	164             	-104.454659  	42.279335  	1554 	9.7           	27.2       	6.4       	0.984316
29                      	843.3                   	25.5                   	37                 	9.8  	165             	-104.454692  	42.279421  	1561 	9.7           	27.1       	6.4       	0.983820
30                      	842.7                   	25.5                   	37                 	9.9  	166             	-104.454724  	42.279507  	1567 	9.7           	27.1       	6.4       	0.983324
31                      	842.1                   	25.4                   	37                 	9.9  	166             	-104.454757  	42.279593  	1574 	9.7           	27.0       	6.4       	0.982827
32                      	841.5                   	25.3                   	37                 	10.0 	166             	-104.454789  	42.279679  	1580 	9.7           	26.9       	6.4       	0.982330
33                      	840.9                   	25.3                   	37                 	10.0 	166             	-104.454822  	42.279765  	1586 	9.7           	26.9       	6.4       	0.981829
34                      	840.3                   	25.2                   	38                 	10.0 	166             	-104.454854  	42.279851  	1593 	9.7           	26.8       	6.4       	0.981307
35                      	839.7                   	25.1                   	38                 	10.0 	166             	-104.454887  	42.279937  	1599 	9.8           	26.8       	6.4       	0.980784
36                      	839.0                   	25.1                   	38                 	10.0 	165             	-104.454919  	42.280023  	1605 	9.8           	26.7       	6.4       	0.980262
37                      	838.4                   	25.0                   	38                 	10.0 	165             	-104.454952  	42.280109  	1612 	9.8           	26.7       	6.4       	0.979739
38                      	837.8                   	25.0                   	38                 	10.0 	165             	-104.454984  	42.280195  	1618 	9.8           	26.6       	6.4       	0.979217
39                      	837.2                   	24.9                   	38                 	10.0 	165             	-104.455017  	42.280281  	1624 	9.8           	26.6       	6.4       	0.978695
40                      	836.6                   	24.9                   	39                 	10.0 	165             	-104.455049  	42.280367  	1631 	9.8           	26.5       	6.4       	0.978173
41                      	836.0                   	24.8                   	39                 	10.0 	165             	-104.455082  	42.280453  	1637 	9.9           	26.4       	6.4       	0.977652
42                      	835.4                   	24.7                   	39                 	10.0 	165             	-104.455114  	42.280539  	1644 	9.9           	26.4       	6.4       	0.977131
43                      	834.8                   	24.7                   	39                 	10.0 	165             	-104.455147  	42.280625  	1650 	9.9           	26.3       	6.4       	0.976552
44                      	834.1                   	24.6                   	39                 	10.0 	165             	-104.455179  	42.280711  	1656 	9.9           	26.3       	6.4       	0.975973
45                      	833.4                   	24.6                   	40                 	10.0 	165             	-104.455212  	42.280797  	1663 	9.9           	26.2       	6.4       	0.975394
46                      	832.8                   	24.5                   	40                 	10.0 	165             	-104.455254  	42.280878  	1670 	9.9           	26.2       	7.2       	0.974816
47                      	832.1                   	24.5                   	40                 	10.0 	165             	-104.455299  	42.280956  	1677 	9.9           	26.1       	7.5       	0.974253
48                      	831.5                   	24.4                   	40                 	10.0 	165             	-104.455345  	42.281035  	1685 	9.9           	26.0       	7.5       	0.973700
49                      	830.8                   	24.3                   	40                 	10.0 	164             	-104.455390  	42.281114  	1692 	9.9           	26.0       	7.5       	0.973078
50                      	830.1                   	24.3                   	40                 	10.0 	164             	-104.455436  	42.281193  	1700 	9.9           	25.9       	7.5       	0.972457
51                      	829.4                   	24.2                   	40                 	10.0 	164             	-104.455481  	42.281271  	1707 	9.9           	25.9       	7.5       	0.971836
52                      	828.6                   	24.1                   	40                 	10.0 	164             	-104.455527  	42.281350  	1715 	9.9           	25.8       	7.5       	0.971216
53                      	827.9                   	24.1                   	41                 	10.0 	164             	-104.455572  	42.281429  	1722 	9.9           	25.7       	7.5       	0.970597
54                      	827.2                   	24.0                   	41                 	10.0 	164             	-104.455617  	42.281508  	1730 	9.9           	25.7       	7.5       	0.969977
55                      	826.5                   	23.9                   	41                 	10.0 	164             	-104.455663  	42.281586  	1737 	9.9           	25.6       	7.5       	0.969358
56                      	825.8                   	23.9                   	41                 	10.0 	164             	-104.455708  	42.281665  	1745 	9.8           	25.5       	7.5       	0.968738
57                      	825.1                   	23.8                   	41                 	10.0 	164             	-104.455754  	42.281744  	1752 	9.8           	25.5       	7.5       	0.968119
58                      	824.4                   	23.7                   	41                 	10.0 	164             	-104.455799  	42.281823  	1760 	9.8           	25.4       	7.5       	0.967501
59                      	823.7                   	23.7                   	41                 	10.0 	164             	-104.455844  	42.281901  	1767 	9.8           	25.3       	7.5       	0.966883
60                      	823.0                   	23.6                   	42                 	10.0 	164             	-104.455890  	42.281980  	1775 	9.8           	25.3       	7.5       	0.966267
61                      	822.3                   	23.5                   	42                 	10.0 	163             	-104.455935  	42.282059  	1782 	9.8           	25.2       	7.5       	0.965681
62                      	821.6                   	23.5                   	42                 	9.9  	163             	-104.455981  	42.282138  	1790 	9.8           	25.1       	7.5       	0.965097
63                      	820.9                   	23.4                   	42                 	9.9  	162             	-104.456026  	42.282216  	1797 	9.8           	25.0       	7.5       	0.964512
64                      	820.2                   	23.3                   	42                 	9.9  	162             	-104.456072  	42.282295  	1805 	9.7           	25.0       	7.5       	0.963928
65                      	819.5                   	23.2                   	42                 	9.9  	161             	-104.456117  	42.282374  	1812 	9.7           	24.9       	7.5       	0.963345
66                      	818.8                   	23.2                   	42                 	9.8  	161             	-104.456162  	42.282453  	1820 	9.7           	24.8       	7.5       	0.962762
67                      	818.1                   	23.1                   	43                 	9.8  	160             	-104.456208  	42.282531  	1827 	9.7           	24.7       	7.5       	0.962178
68                      	817.4                   	23.0                   	43                 	9.8  	160             	-104.456253  	42.282610  	1835 	9.7           	24.7       	7.5       	0.961595
69                      	816.7                   	22.9                   	43                 	9.8  	160             	-104.456299  	42.282689  	1842 	9.7           	24.6       	7.5       	0.961012
70                      	816.0                   	22.9                   	43                 	9.8  	159             	-104.456344  	42.282767  	1850 	9.7           	24.5       	7.5       	0.960429
71                      	815.3                   	22.8                   	43                 	9.7  	159             	-104.456389  	42.282846  	1857 	9.6           	24.4       	7.5       	0.959847
72                      	814.6                   	22.7                   	43                 	9.7  	158             	-104.456435  	42.282925  	1865 	9.6           	24.4       	7.5       	0.959265
73                      	813.9                   	22.7                   	43                 	9.7  	158             	-104.456480  	42.283004  	1872 	9.6           	24.3       	7.5       	0.958663
74                      	813.1                   	22.6                   	44                 	9.7  	157             	-104.456526  	42.283082  	1880 	9.6           	24.2       	7.5       	0.958084
75                      	812.4                   	22.5                   	44                 	9.7  	157             	-104.456571  	42.283161  	1887 	9.5           	24.1       	7.5       	0.957509
76                      	811.7                   	22.4                   	44                 	9.6  	156             	-104.456617  	42.283240  	1895 	9.5           	24.0       	7.5       	0.956934
77                      	811.0                   	22.3                   	44                 	9.6  	156             	-104.456672  	42.283321  	1903 	9.5           	24.0       	8.0       	0.956360
78                      	810.3                   	22.2                   	44                 	9.6  	155             	-104.456727  	42.283401  	1911 	9.4           	23.9       	8.0       	0.955786
79                      	809.5                   	22.2                   	44                 	9.6  	155             	-104.456782  	42.283482  	1919 	9.4           	23.8       	8.0       	0.955172
80                      	808.8                   	22.1                   	44                 	9.6  	154             	-104.456838  	42.283562  	1927 	9.4           	23.7       	8.0       	0.954559
81                      	808.0                   	22.0                   	44                 	9.6  	154             	-104.456893  	42.283643  	1935 	9.4           	23.6       	8.0       	0.953946
82                      	807.3                   	21.9                   	45                 	9.6  	153             	-104.456948  	42.283724  	1943 	9.3           	23.5       	8.0       	0.953333
83                      	806.6                   	21.8                   	45                 	9.5  	153             	-104.457004  	42.283804  	1951 	9.3           	23.4       	8.0       	0.952721
84                      	805.8                   	21.7                   	45                 	9.5  	153             	-104.457059  	42.283885  	1959 	9.3           	23.4       	8.0       	0.952109
85                      	805.1                   	21.7                   	45                 	9.5  	152             	-104.457115  	42.283966  	1967 	9.2           	23.3       	8.0       	0.951496
86                      	804.3                   	21.6                   	45                 	9.5  	152             	-104.457170  	42.284046  	1975 	9.2           	23.2       	8.0       	0.950884
87                      	803.6                   	21.5                   	45                 	9.5  	151             	-104.457225  	42.284127  	1983 	9.2           	23.1       	8.0       	0.950272
88                      	802.8                   	21.4                   	45                 	9.5  	151             	-104.457281  	42.284208  	1991 	9.1           	23.0       	8.0       	0.949660
89                      	802.1                   	21.3                   	46                 	9.5  	150             	-104.457336  	42.284288  	1999 	9.1           	22.9       	8.0       	0.949048
90                      	801.4                   	21.3                   	46                 	9.5  	150             	-104.457392  	42.284369  	2007 	9.1           	22.9       	8.0       	0.948437
91                      	800.6                   	21.2                   	46                 	9.5  	150             	-104.457447  	42.284450  	2015 	9.1           	22.8       	8.0       	0.947825
92                      	799.9                   	21.1                   	46                 	9.6  	150             	-104.457502  	42.284530  	2023 	9.1           	22.7       	8.0       	0.947214
93                      	799.1                   	21.0                   	46                 	9.6  	151             	-104.457558  	42.284611  	2031 	9.1           	22.6       	8.0       	0.946602
94                      	798.4                   	20.9                   	47                 	9.7  	151             	-104.457613  	42.284692  	2039 	9.0           	22.5       	8.0       	0.945992
95                      	797.7                   	20.8                   	47                 	9.7  	152             	-104.457669  	42.284772  	2047 	9.0           	22.4       	8.0       	0.945381
96                      	796.9                   	20.8                   	47                 	9.8  	152             	-104.457724  	42.284853  	2055 	9.0           	22.4       	8.0       	0.944772
97                      	796.2                   	20.7                   	47                 	9.8  	152             	-104.457779  	42.284934  	2063 	9.0           	22.3       	8.0       	0.944161
98                      	795.4                   	20.6                   	47                 	9.9  	153             	-104.457835  	42.285014  	2071 	9.0           	22.2       	8.0       	0.943551
99                      	794.7                   	20.5                   	47                 	9.9  	153             	-104.457890  	42.285095  	2079 	9.0           	22.1       	8.0       	0.942941
100                     	794.0                   	20.4                   	48                 	10.0 	154             	-104.457945  	42.285176  	2087 	8.9           	22.0       	8.0       	0.942332
101                     	793.2                   	20.4                   	48                 	10.0 	154             	-104.458001  	42.285256  	2095 	8.9           	22.0       	8.0       	0.941686
102                     	792.5                   	20.3                   	48                 	10.1 	154             	-104.458056  	42.285337  	2103 	8.9           	21.9       	8.0       	0.941040
103                     	791.8                   	20.2                   	48                 	10.1 	155             	-104.458112  	42.285418  	2111 	8.9           	21.8       	8.0       	0.940438
104                     	791.1                   	20.1                   	48                 	10.2 	155             	-104.458167  	42.285498  	2119 	8.8           	21.7       	8.0       	0.939837
105                     	790.4                   	20.1                   	48                 	10.3 	155             	-104.458222  	42.285579  	2127 	8.8           	21.7       	8.0       	0.939236
106                     	789.7                   	20.0                   	48                 	10.3 	156             	-104.458278  	42.285660  	2135 	8.8           	21.6       	8.0       	0.938635
107                     	789.0                   	19.9                   	48                 	10.4 	156             	-104.458332  	42.285740  	2142 	8.8           	21.5       	6.9       	0.938035
108                     	788.3                   	19.9                   	49                 	10.4 	156             	-104.458387  	42.285820  	2149 	8.7           	21.4       	6.7       	0.937436
109                     	787.7                   	19.8                   	49                 	10.5 	157             	-104.458441  	42.285899  	2155 	8.7           	21.4       	6.7       	0.936936
110                     	787.1                   	19.7                   	49                 	10.5 	157             	-104.458496  	42.285979  	2162 	8.7           	21.3       	6.7       	0.936436
111                     	786.5                   	19.7                   	49                 	10.5 	157             	-104.458550  	42.286059  	2169 	8.6           	21.2       	6.7       	0.935937
112                     	785.9                   	19.6                   	49                 	10.5 	157             	-104.458604  	42.286139  	2175 	8.6           	21.2       	6.7       	0.935438
113                     	785.3                   	19.5                   	49                 	10.5 	156             	-104.458659  	42.286219  	2182 	8.6           	21.1       	6.7       	0.934939
114                     	784.7                   	19.4                   	49                 	10.4 	156             	-104.458713  	42.286299  	2189 	8.6           	21.0       	6.7       	0.934430
115                     	784.1                   	19.4                   	49                 	10.4 	156             	-104.458768  	42.286379  	2195 	8.5           	20.9       	6.7       	0.933916
116                     	783.5                   	19.3                   	50                 	10.4 	156             	-104.458822  	42.286459  	2202 	8.5           	20.9       	6.7       	0.933402
117                     	782.9                   	19.2                   	50                 	10.3 	155             	-104.458877  	42.286539  	2209 	8.5           	20.8       	6.7       	0.932888
118                     	782.2                   	19.2                   	50                 	10.3 	155             	-104.458931  	42.286619  	2215 	8.5           	20.7       	6.7       	0.932375
119                     	781.6                   	19.1                   	50                 	10.3 	155             	-104.458985  	42.286699  	2222 	8.4           	20.7       	6.7       	0.931862
120                     	781.0                   	19.0                   	50                 	10.3 	155             	-104.459040  	42.286779  	2229 	8.4           	20.6       	6.7       	0.931350
121                     	780.4                   	19.0                   	50                 	10.2 	154             	-104.459094  	42.286859  	2236 	8.4           	20.5       	6.7       	0.930836
122                     	779.8                   	18.9                   	50                 	10.2 	154             	-104.459149  	42.286939  	2242 	8.4           	20.5       	6.7       	0.930324
123                     	779.2                   	18.8                   	50                 	10.2 	154             	-104.459203  	42.287018  	2249 	8.3           	20.4       	6.7       	0.929811
124                     	778.6                   	18.8                   	50                 	10.2 	154             	-104.459257  	42.287098  	2256 	8.3           	20.3       	6.7       	0.929299
125                     	778.0                   	18.7                   	51                 	10.1 	153             	-104.459312  	42.287178  	2262 	8.3           	20.3       	6.7       	0.928787
126                     	777.4                   	18.7                   	51                 	10.1 	153             	-104.459366  	42.287258  	2269 	8.2           	20.2       	6.7       	0.928275
127                     	776.8                   	18.6                   	51                 	10.1 	153             	-104.459421  	42.287338  	2276 	8.2           	20.1       	6.7       	0.927753
128                     	776.2                   	18.5                   	51                 	10.1 	153             	-104.459475  	42.287418  	2282 	8.2           	20.1       	6.7       	0.927189
129                     	775.6                   	18.5                   	51                 	10.0 	152             	-104.459530  	42.287498  	2289 	8.1           	20.0       	6.7       	0.926626
130                     	775.0                   	18.4                   	51                 	10.0 	152             	-104.459584  	42.287578  	2296 	8.1           	20.0       	6.7       	0.926063
131                     	774.4                   	18.4                   	51                 	10.0 	152             	-104.459638  	42.287658  	2302 	8.1           	19.9       	6.7       	0.925501
132                     	773.8                   	18.3                   	51                 	10.0 	152             	-104.459693  	42.287738  	2309 	8.0           	19.9       	6.7       	0.924939
133                     	773.2                   	18.3                   	51                 	9.9  	152             	-104.459747  	42.287818  	2316 	8.0           	19.8       	6.7       	0.924381
134                     	772.6                   	18.2                   	51                 	9.9  	152             	-104.459802  	42.287898  	2322 	7.9           	19.8       	6.7       	0.923823
135                     	772.0                   	18.2                   	51                 	9.9  	152             	-104.459856  	42.287978  	2329 	7.9           	19.7       	6.7       	0.923266
136                     	771.4                   	18.1                   	51                 	9.8  	152             	-104.459911  	42.288057  	2336 	7.9           	19.7       	6.7       	0.922709
137                     	770.8                   	18.1                   	51                 	9.8  	152             	-104.459965  	42.288137  	2342 	7.8           	19.6       	6.7       	0.922153
138                     	770.2                   	18.0                   	51                 	9.8  	152             	-104.460017  	42.288213  	2349 	7.8           	19.6       	6.4       	0.921597
139                     	769.7                   	18.0                   	51                 	9.7  	153             	-104.460067  	42.288283  	2355 	7.8           	19.5       	6.1       	0.921096
140                     	769.1                   	17.9                   	51                 	9.7  	153             	-104.460117  	42.288352  	2361 	7.7           	19.4       	6.1       	0.920595
141                     	768.6                   	17.9                   	51                 	9.7  	153             	-104.460167  	42.288422  	2367 	7.6           	19.4       	6.1       	0.920057
142                     	768.0                   	17.9                   	51                 	9.6  	153             	-104.460217  	42.288492  	2373 	7.5           	19.4       	6.1       	0.919498
143                     	767.5                   	17.8                   	50                 	9.6  	153             	-104.460267  	42.288562  	2379 	7.4           	19.3       	6.1       	0.918940
144                     	766.9                   	17.8                   	50                 	9.6  	153             	-104.460317  	42.288632  	2386 	7.3           	19.3       	6.1       	0.918382
145                     	766.4                   	17.8                   	50                 	9.6  	153             	-104.460367  	42.288702  	2392 	7.2           	19.2       	6.1       	0.917823
146                     	765.8                   	17.8                   	50                 	9.5  	153             	-104.460417  	42.288772  	2398 	7.1           	19.2       	6.1       	0.917265
147                     	765.3                   	17.7                   	49                 	9.5  	153             	-104.460466  	42.288841  	2404 	7.0           	19.2       	6.1       	0.916708
148                     	764.7                   	17.7                   	49                 	9.5  	153             	-104.460516  	42.288911  	2410 	6.9           	19.1       	6.1       	0.916151
149                     	764.2                   	17.7                   	49                 	9.4  	153             	-104.460566  	42.288981  	2416 	6.8           	19.1       	6.1       	0.915594
150                     	763.6                   	17.6                   	49                 	9.4  	153             	-104.460616  	42.289051  	2422 	6.7           	19.0       	6.1       	0.915037
151                     	763.1                   	17.6                   	48                 	9.3  	153             	-104.460666  	42.289121  	2428 	6.6           	19.0       	6.1       	0.914481
152                     	762.5                   	17.6                   	48                 	9.3  	153             	-104.460716  	42.289191  	2435 	6.5           	19.0       	6.1       	0.913924
153                     	762.0                   	17.5                   	48                 	9.2  	153             	-104.460766  	42.289260  	2441 	6.4           	18.9       	6.1       	0.913368
154                     	761.4                   	17.5                   	48                 	9.2  	153             	-104.460816  	42.289330  	2447 	6.3           	18.9       	6.1       	0.912817
155                     	760.9                   	17.5                   	48                 	9.1  	153             	-104.460866  	42.289400  	2453 	6.2           	18.8       	6.1       	0.912285
156                     	760.4                   	17.4                   	47                 	9.1  	153             	-104.460916  	42.289470  	2459 	6.1           	18.8       	6.1       	0.911753
157                     	759.8                   	17.4                   	47                 	9.0  	153             	-104.460965  	42.289540  	2465 	6.0           	18.7       	6.1       	0.911220
158                     	759.3                   	17.3                   	47                 	9.0  	153             	-104.461015  	42.289610  	2471 	5.9           	18.7       	6.1       	0.910688
159                     	758.7                   	17.3                   	47                 	8.9  	152             	-104.461065  	42.289680  	2477 	5.8           	18.6       	6.1       	0.910156
160                     	758.2                   	17.3                   	46                 	8.9  	152             	-104.461115  	42.289749  	2484 	5.7           	18.6       	6.1       	0.909625
161                     	757.6                   	17.2                   	46                 	8.8  	152             	-104.461165  	42.289819  	2490 	5.6           	18.6       	6.1       	0.909094
162                     	757.1                   	17.2                   	46                 	8.8  	152             	-104.461215  	42.289889  	2496 	5.5           	18.5       	6.1       	0.908563
163                     	756.6                   	17.2                   	46                 	8.7  	152             	-104.461265  	42.289959  	2502 	5.4           	18.5       	6.1       	0.908032
164                     	756.0                   	17.1                   	46                 	8.7  	152             	-104.461315  	42.290029  	2508 	5.3           	18.4       	6.1       	0.907501
165                     	755.5                   	17.1                   	45                 	8.6  	152             	-104.461365  	42.290099  	2514 	5.2           	18.4       	6.1       	0.906971
166                     	754.9                   	17.0                   	45                 	8.6  	152             	-104.461415  	42.290169  	2520 	5.1           	18.3       	6.1       	0.906441
167                     	754.4                   	17.0                   	45                 	8.5  	152             	-104.461464  	42.290238  	2526 	5.0           	18.3       	6.1       	0.905911
168                     	753.9                   	17.0                   	45                 	8.5  	152             	-104.461514  	42.290308  	2533 	4.9           	18.2       	6.1       	0.905399
169                     	753.3                   	16.9                   	44                 	8.4  	152             	-104.461558  	42.290359  	2539 	4.8           	18.2       	6.3       	0.904877
170                     	752.7                   	16.9                   	44                 	8.4  	151             	-104.461601  	42.290408  	2545 	4.7           	18.1       	6.3       	0.904355
171                     	752.2                   	16.8                   	44                 	8.3  	151             	-104.461645  	42.290458  	2551 	4.5           	18.1       	6.3       	0.903833
172                     	751.6                   	16.8                   	44                 	8.2  	151             	-104.461688  	42.290507  	2558 	4.4           	18.0       	6.3       	0.903312
173                     	751.1                   	16.7                   	44                 	8.1  	151             	-104.461731  	42.290557  	2564 	4.3           	17.9       	6.3       	0.902791
174                     	750.5                   	16.7                   	43                 	8.1  	151             	-104.461775  	42.290607  	2570 	4.2           	17.9       	6.3       	0.902270
175                     	750.0                   	16.6                   	43                 	8.0  	150             	-104.461818  	42.290656  	2576 	4.1           	17.8       	6.3       	0.901749
176                     	749.4                   	16.6                   	43                 	7.9  	150             	-104.461861  	42.290706  	2583 	4.0           	17.8       	6.3       	0.901228
177                     	748.9                   	16.5                   	43                 	7.9  	150             	-104.461905  	42.290755  	2589 	3.9           	17.7       	6.3       	0.900707
178                     	748.3                   	16.5                   	43                 	7.8  	150             	-104.461948  	42.290805  	2595 	3.8           	17.7       	6.3       	0.900187
179                     	747.8                   	16.5                   	42                 	7.7  	149             	-104.461991  	42.290854  	2602 	3.6           	17.6       	6.3       	0.899667
180                     	747.2                   	16.4                   	42                 	7.6  	149             	-104.462035  	42.290904  	2608 	3.5           	17.6       	6.3       	0.899147
181                     	746.7                   	16.4                   	42                 	7.6  	149             	-104.462078  	42.290953  	2614 	3.3           	17.5       	6.3       	0.898595
182                     	746.1                   	16.4                   	41                 	7.5  	149             	-104.462121  	42.291003  	2620 	3.2           	17.5       	6.3       	0.897977
183                     	745.6                   	16.3                   	41                 	7.4  	148             	-104.462165  	42.291052  	2627 	3.0           	17.5       	6.3       	0.897359
184                     	745.0                   	16.3                   	40                 	7.4  	148             	-104.462208  	42.291102  	2633 	2.8           	17.4       	6.3       	0.896742
185                     	744.5                   	16.3                   	40                 	7.3  	148             	-104.462252  	42.291151  	2639 	2.7           	17.4       	6.3       	0.896125
186                     	743.9                   	16.3                   	39                 	7.2  	148             	-104.462295  	42.291201  	2645 	2.5           	17.4       	6.3       	0.895508
187                     	743.4                   	16.3                   	39                 	7.2  	147             	-104.462338  	42.291251  	2652 	2.3           	17.4       	6.3       	0.894891
188                     	742.8                   	16.3                   	38                 	7.1  	147             	-104.462382  	42.291300  	2658 	2.2           	17.3       	6.3       	0.894275
189                     	742.3                   	16.3                   	38                 	7.0  	147             	-104.462425  	42.291350  	2664 	2.0           	17.3       	6.3       	0.893659
190                     	741.7                   	16.3                   	38                 	6.9  	146             	-104.462468  	42.291399  	2671 	1.8           	17.3       	6.3       	0.893044
191                     	741.2                   	16.2                   	37                 	6.9  	147             	-104.462512  	42.291449  	2677 	1.6           	17.3       	6.3       	0.892429
192                     	740.7                   	16.2                   	37                 	6.8  	147             	-104.462555  	42.291498  	2683 	1.4           	17.2       	6.3       	0.891815
193                     	740.1                   	16.2                   	36                 	6.7  	147             	-104.462598  	42.291548  	2689 	1.3           	17.2       	6.3       	0.891200
194                     	739.6                   	16.2                   	36                 	6.6  	147             	-104.462642  	42.291597  	2696 	1.1           	17.2       	6.3       	0.890586
195                     	739.0                   	16.2                   	35                 	6.5  	148             	-104.462685  	42.291647  	2702 	0.9           	17.1       	6.3       	0.890001
196                     	738.5                   	16.1                   	35                 	6.4  	148             	-104.462728  	42.291696  	2708 	0.7           	17.1       	6.3       	0.889421
197                     	737.9                   	16.1                   	35                 	6.3  	148             	-104.462772  	42.291746  	2714 	0.5           	17.1       	6.3       	0.888840
198                     	737.4                   	16.1                   	34                 	6.3  	148             	-104.462815  	42.291795  	2721 	0.3           	17.0       	6.3       	0.888260
199                     	736.8                   	16.1                   	34                 	6.2  	149             	-104.462844  	42.291845  	2727 	0.1           	17.0       	6.2       	0.887690
200                     	736.3                   	16.0                   	33                 	6.1  	149             	-104.462855  	42.291895  	2733 	0.0           	17.0       	6.2       	0.887120
