alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
19.4107856290174,46.83119,-114.265553,1.06274576653577,111.781975812241,-29.7737206064833,2.32052612274941,-0.0313180248538481,3.2940998749979,0.0384603639671895,4.04534707178782,0.836700541285328,-0.493658622112057
19.122146549487,46.833284,-114.252924,2.72581005915892,180.649137682331,-21.1814549668694,3.41454536915587,-0.132703262922831,8.79471771486458,0.145153001921121,9.61980624473271,0.866092016466723,-0.357019093164002
23.7201946798493,46.798127,-114.323552,0.631425764949336,40.5900804446608,41.3681404398094,3.50910848782613,-0.0317492282024636,2.0409425752484,0.0345554568149868,2.22133598244104,0.771927512072723,-0.16901521607875
26.9079201388889,46.803158,-114.332861,0.672583816549418,21.6290258315561,-15.3297866830033,7.12691038838511,-0.0732840831917151,2.35667776921458,0.0747558623871846,2.4040074097053,0.888296784279329,-0.103211891386428
30.7235794930876,46.813291,-114.342412,0.484992592848191,90.7197139051403,45.7635091407997,1.66777349698894,-0.00807929962460969,1.51126380342044,0.0126144906252664,2.35958857404952,0.697146424470004,-0.166031626082084
19.411,46.831,-114.27,5.9122e-06,0.00062186,-29.774,2.3205,-1.7423e-07,1.8326e-05,2.1396e-07,2.2505e-05,0.8367,-0.49366
19.122,46.833,-114.25,2.3051e-06,0.00015277,-21.181,3.4145,-1.1222e-07,7.4372e-06,1.2275e-07,8.135e-06,0.86609,-0.35702
23.72,46.798,-114.32,9.9508e-06,0.00063967,41.368,3.5091,-5.0034e-07,3.2164e-05,5.4457e-07,3.5007e-05,0.77193,-0.16902
26.908,46.803,-114.33,9.3419e-06,0.00030042,-15.33,7.1269,-1.0179e-06,3.2733e-05,1.0383e-06,3.339e-05,0.8883,-0.10321
30.724,46.813,-114.34,1.2955e-05,0.0024233,45.764,1.6678,-2.1582e-07,4.0369e-05,3.3696e-07,6.303e-05,0.69715,-0.16603
19.411,46.831,-114.27,1.0627,111.78,-29.774,2.3205,-0.031318,3.2941,0.03846,4.0453,0.8367,-0.49366
19.122,46.833,-114.25,2.7258,180.65,-21.181,3.4145,-0.1327,8.7947,0.14515,9.6198,0.86609,-0.35702
23.72,46.798,-114.32,0.63143,40.59,41.368,3.5091,-0.031749,2.0409,0.034555,2.2213,0.77193,-0.16902
26.908,46.803,-114.33,0.67258,21.629,-15.33,7.1269,-0.073284,2.3567,0.074756,2.404,0.8883,-0.10321
30.724,46.813,-114.34,0.48499,90.72,45.764,1.6678,-0.0080793,1.5113,0.012614,2.3596,0.69715,-0.16603
19.411,46.831,-114.27,1.0627,111.78,-29.774,2.3205,-0.031318,3.2941,0.03846,4.0453,0.8367,-0.49366
19.122,46.833,-114.25,2.7258,180.65,-21.181,3.4145,-0.1327,8.7947,0.14515,9.6198,0.86609,-0.35702
23.72,46.798,-114.32,0.63143,40.59,41.368,3.5091,-0.031749,2.0409,0.034555,2.2213,0.77193,-0.16902
26.908,46.803,-114.33,0.67258,21.629,-15.33,7.1269,-0.073284,2.3567,0.074756,2.404,0.8883,-0.10321
30.724,46.813,-114.34,0.48499,90.72,45.764,1.6678,-0.0080793,1.5113,0.012614,2.3596,0.69715,-0.16603
19.411,46.831,-114.27,1.0627,111.78,-29.774,2.3205,-0.031318,3.2941,0.03846,4.0453,0.8367,-0.49366
19.122,46.833,-114.25,2.7258,180.65,-21.181,3.4145,-0.1327,8.7947,0.14515,9.6198,0.86609,-0.35702
23.72,46.798,-114.32,0.63143,40.59,41.368,3.5091,-0.031749,2.0409,0.034555,2.2213,0.77193,-0.16902
26.908,46.803,-114.33,0.67258,21.629,-15.33,7.1269,-0.073284,2.3567,0.074756,2.404,0.8883,-0.10321
30.724,46.813,-114.34,0.48499,90.72,45.764,1.6678,-0.0080793,1.5113,0.012614,2.3596,0.69715,-0.16603
19.411,46.815,-114.34,1.0627,111.78,-29.774,2.3205,-0.031318,3.2941,0.03846,4.0453,0.8367,-0.49366
19.122,46.815,-114.34,2.7258,180.65,-21.181,3.4145,-0.1327,8.7947,0.14515,9.6198,0.86609,-0.35702
23.72,46.813,-114.39,0.63143,40.59,41.368,3.5091,-0.031749,2.0409,0.034555,2.2213,0.77193,-0.16902
26.908,46.821,-114.45,0.67258,21.629,-15.33,7.1269,-0.073284,2.3567,0.074756,2.404,0.8883,-0.10321
30.724,46.823,-114.54,0.48499,90.72,45.764,1.6678,-0.0080793,1.5113,0.012614,2.3596,0.69715,-0.16603
