alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
15.0718962121212,46.892194,-113.938591,0.543380345063917,195.987908683834,37.6354201399248,1.19300791404441,-0.00300658482452773,1.08442323575474,0.0101098519172555,3.64644903402439,0.891813682007523,-0.2998731121516
16.8851425571505,46.925021,-113.853373,0.428998156379662,58.705476741754,-40.0018806649238,1.76691058999315,-0.00803485894524691,1.09951573898146,0.0118213627415624,1.61767300199411,0.954169864263818,-0.138947913003531
15.072,46.892,-113.94,1.1563e-05,0.0041706,37.635,1.193,-6.398e-08,2.3077e-05,2.1514e-07,7.7597e-05,0.89181,-0.29987
16.885,46.925,-113.85,1.4646e-05,0.0020042,-40.002,1.7669,-2.7431e-07,3.7538e-05,4.0359e-07,5.5228e-05,0.95417,-0.13895
15.072,46.892,-113.94,0.54338,195.99,37.635,1.193,-0.0030066,1.0844,0.01011,3.6464,0.89181,-0.29987
16.885,46.925,-113.85,0.429,58.705,-40.002,1.7669,-0.0080349,1.0995,0.011821,1.6177,0.95417,-0.13895
15.072,46.892,-113.94,0.54338,195.99,37.635,1.193,-0.0030066,1.0844,0.01011,3.6464,0.89181,-0.29987
16.885,46.925,-113.85,0.429,58.705,-40.002,1.7669,-0.0080349,1.0995,0.011821,1.6177,0.95417,-0.13895
15.072,46.892,-113.94,0.54338,195.99,37.635,1.193,-0.0030066,1.0844,0.01011,3.6464,0.89181,-0.29987
16.885,46.925,-113.85,0.429,58.705,-40.002,1.7669,-0.0080349,1.0995,0.011821,1.6177,0.95417,-0.13895
15.072,47.148,-113.17,0.54338,195.99,37.635,1.193,-0.0030066,1.0844,0.01011,3.6464,0.89181,-0.29987
16.885,47.154,-113.08,0.429,58.705,-40.002,1.7669,-0.0080349,1.0995,0.011821,1.6177,0.95417,-0.13895
