altOfDetection_km,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group vel_ms),int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms),degreeofpolarization,stokes_param_Q
15.6090171296296,0.828176381833231,170.645845371655,18.5848827760046,1.26915407585184,-0.00675017763096604,1.39087493137059,0.0178024163082623,3.66819007064284,0.890391816035196,-0.88034701904916
18.416,1.0198,186.86,165.74,1.4492,-0.013113,2.4027,0.025031,4.5865,0.9467,-1.203
19.943,0.94878,252.73,31.068,1.263,-0.0075728,2.0172,0.020296,5.4064,0.88657,-1.9117
22.706,3.0006,606.99,42.039,1.46,-0.039391,7.9684,0.0742,15.01,0.98105,-1.2406
26.005,0.63795,51.926,9.6131,2.9175,-0.02782,2.2644,0.031524,2.5659,0.65565,-0.20021
28.444,0.9798,157.12,-27.861,1.8391,-0.021497,3.4471,0.03052,4.8941,0.86098,-0.75554
