altOfDetection_km,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group vel_ms),int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms),degreeofpolarization,stokes_param_Q
18.7304110025696,2.95044189960676,228.102452981257,222.040185449796,3.09243493958276,-0.127414186879332,9.8505544459837,0.142293539630506,11.0008963191005,0.877547157829745,-0.694207707956929
19.782,1.0643,11.367,42.191,22.653,-0.37525,4.008,0.37598,4.0158,0.88741,-0.5556
20.328,0.48968,117.63,221.64,1.4361,-0.0056499,1.3572,0.010967,2.6346,0.78626,-0.18398
23.935,1.6168,197.95,-38.392,2.2518,-0.045581,5.5805,0.056779,6.9514,0.93935,-0.49618
23.401,0.59268,261.19,204.1,1.1512,-0.0026114,1.1508,0.010641,4.6893,0.91573,-0.2321
