altOfDetection_km,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group vel_ms),int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms),degreeofpolarization,stokes_param_Q
15.7146745098039,0.854614033043867,147.495437429752,140.187431399748,1.41939245681937,-0.0103475188705336,1.78584924083925,0.0205453846072146,3.54587026731874,0.884363652920112,-0.665996942064048
15.687,1.887,182.52,209.33,2.1884,-0.055339,5.3524,0.069944,6.765,0.8882,-1.4573
17.696,0.65485,160.15,172.68,1.3692,-0.0070864,1.733,0.015187,3.714,0.91492,-0.9824
17.96,1.1702,187.99,144.99,1.6822,-0.021561,3.4635,0.033343,5.3563,0.9774,-1.4042
19.198,1.9426,172.44,215.37,2.6628,-0.075255,6.68,0.087612,7.7768,0.8834,-1.4609
22.315,1.2564,721.58,145.74,1.0775,-0.0031812,1.8271,0.022929,13.169,0.88612,-2.6077
